table_schema,table_name,column_name,data_type,is_nullable,column_default
public,coffee_logs,id,uuid,NO,gen_random_uuid()
public,coffee_logs,created_at,timestamp with time zone,NO,"timezone('utc'::text, now())"
public,coffee_logs,user_id,uuid,NO,auth.uid()
public,coffee_logs,coffee_name,text,NO,null
public,coffee_logs,place,text,NO,null
public,coffee_logs,price,numeric,YES,null
public,coffee_logs,rating,integer,YES,null
public,coffee_logs,review,text,YES,null
public,coffee_logs,flavor_notes,text,YES,null
public,coffee_logs,price_feel,text,YES,null
public,coffee_logs,deleted_at,timestamp without time zone,YES,null
public,coffee_logs,deletion_reason,text,YES,null
public,coffee_logs,deleted_by,uuid,YES,null
public,coffee_logs,location_id,uuid,YES,null
public,coffee_logs,image_url,text,YES,null
public,coffee_logs,image_deleted_at,timestamp with time zone,YES,null
public,debug_trace,id,integer,NO,nextval('debug_trace_id_seq'::regclass)
public,debug_trace,event,text,YES,null
public,debug_trace,details,jsonb,YES,null
public,debug_trace,created_at,timestamp with time zone,YES,now()
public,follows,id,uuid,NO,gen_random_uuid()
public,follows,follower_id,uuid,NO,null
public,follows,following_id,uuid,NO,null
public,follows,created_at,timestamp with time zone,NO,"timezone('utc'::text, now())"
public,like_counts,target_id,uuid,YES,null
public,like_counts,target_type,text,YES,null
public,like_counts,like_count,bigint,YES,null
public,likes,id,uuid,NO,gen_random_uuid()
public,likes,user_id,uuid,NO,null
public,likes,target_id,uuid,NO,null
public,likes,target_type,text,NO,null
public,likes,created_at,timestamp with time zone,NO,"timezone('utc'::text, now())"
public,list_items,id,uuid,NO,gen_random_uuid()
public,list_items,list_id,uuid,NO,null
public,list_items,coffee_log_id,uuid,NO,null
public,list_items,added_at,timestamp with time zone,NO,"timezone('utc'::text, now())"
public,list_saves,user_id,uuid,NO,null
public,list_saves,list_id,uuid,NO,null
public,list_saves,saved_at,timestamp with time zone,NO,"timezone('utc'::text, now())"
public,lists,id,uuid,NO,gen_random_uuid()
public,lists,owner_id,uuid,NO,null
public,lists,title,text,NO,null
public,lists,description,text,YES,null
public,lists,visibility,USER-DEFINED,NO,'private'::list_visibility
public,lists,created_at,timestamp with time zone,NO,"timezone('utc'::text, now())"
public,lists,updated_at,timestamp with time zone,NO,"timezone('utc'::text, now())"
public,lists,deleted_at,timestamp with time zone,YES,null
public,locations,id,uuid,NO,gen_random_uuid()
public,locations,place_name,text,NO,null
public,locations,place_address,text,YES,null
public,locations,city,text,YES,null
public,locations,lat,double precision,YES,null
public,locations,lng,double precision,YES,null
public,locations,google_place_id,text,YES,null
public,locations,created_at,timestamp with time zone,YES,now()
public,notifications,id,uuid,NO,gen_random_uuid()
public,notifications,recipient_id,uuid,NO,null
public,notifications,sender_id,uuid,NO,null
public,notifications,type,text,NO,null
public,notifications,entity_id,uuid,YES,null
public,notifications,read,boolean,YES,false
public,notifications,created_at,timestamp with time zone,YES,now()
public,notifications,trigger_actor_id,uuid,YES,null
public,notifications,actor_count,integer,YES,1
public,notifications,actor_names,jsonb,YES,'[]'::jsonb
public,notifications,group_key,text,YES,null
public,profiles,user_id,uuid,NO,null
public,profiles,username,text,NO,null
public,profiles,username_last_changed_at,timestamp without time zone,YES,null
public,profiles,created_at,timestamp without time zone,YES,now()
public,profiles,follower_count,integer,NO,0
public,profiles,following_count,integer,NO,0
public,profiles,is_admin,boolean,YES,false
public,user_follow_stats,user_id,uuid,YES,null
public,user_follow_stats,username,text,YES,null
public,user_follow_stats,follower_count,integer,YES,null
public,user_follow_stats,following_count,integer,YES,null
public,user_follow_stats,verified_following_count,bigint,YES,null
public,user_follow_stats,verified_follower_count,bigint,YES,null
